 [ 0.01531668  2.26534989]
 [ 0.01531668  2.28673709]
 [ 0.00345333  2.27529173]
 [ 0.00345333  2.27179524]
 [ 0.06990836  2.48387054]
 [ 0.06990836  2.38848527]
 [ 0.22715332  2.49159987]
 [ 0.22715332  2.08931974]
 [ 0.19294666  2.29630781]
 [ 0.19294666  2.34203321]
 [ 0.14561924  2.26366471]
 [ 0.14561924  2.21637659]]
